v,comuna,manzana,predio,rol,_ok,_status,nombreComuna,direccion_sii,lat,lon,valorTotal,valorAfecto,valorExento,supTerreno,supConsMt2,supConsMt3,valorComercial_clp_m2,txt_direccion,txt_avaluo_total,txt_avaluo_exento,txt_cuota_trimestral,txt_serie,txt_ind_aseo,txt_anio_term_exencion,txt_cod_ubicacion,txt_cod_destino,_extra_json,ah,ah_coefVariacion,ah_eac,ah_eacano,ah_mediana,ah_numeroMuestras,ah_rangoSuperficie,ah_utm_x,ah_utm_y,ah_valorUnitario,cap__observatorio_de_mercado_de_suelo_urbano_2025__comuna,cap__observatorio_de_mercado_de_suelo_urbano_2025__código_área_homogénea,cap__observatorio_de_mercado_de_suelo_urbano_2025__región,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_bodega,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_comercio,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_estacionamiento,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_industria,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_oficina,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_sitio_eriazo,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_habitacional_casa,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_habitacional_departamento,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_otros_destinos,cap__observatorio_de_mercado_de_suelo_urbano_2025__valor_comercial_m²_de_suelo,cap__áreas_homogéneas_rav_sne_2025__código_área_homogénea,cap__áreas_homogéneas_rav_sne_2025__código_área_homogénea__2,cap__áreas_homogéneas_rav_sne_2025__rango_superficie_predial_en_m²,cap__áreas_homogéneas_rav_sne_2025__rango_superficie_predial_en_m²__2,cap__áreas_homogéneas_rav_sne_2025__valor_m²_de_terreno,cap__áreas_homogéneas_rav_sne_2025__valor_m²_de_terreno__2,destinoDescripcion,eacano,eacs,eacsDescripcion,existePredio,medidaSup,medidaSupConst,obs_codigo_area_homogenea,obs_comuna,obs_region,obs_tx_destino_bodega,obs_tx_destino_comercio,obs_tx_destino_estacionamiento,obs_tx_destino_industria,obs_tx_destino_oficina,obs_tx_destino_sitio_eriazo,obs_tx_habitacional_casa,obs_tx_habitacional_departamento,obs_tx_otros_destinos,obs_valor_comercial_m2_suelo,periodo,predioPublicado_comuna,predioPublicado_id,predioPublicado_manzana,predioPublicado_predio,predioPublicado_utm_x,predioPublicado_utm_y,rangoSuperficie,sector,tablaOrigen,ubicacion,_poly_idx,_match_method,pol_area_m2,dc_contribucion_semestral,dc_cod_destino,dc_avaluo_fiscal,dc_avaluo_exento,dc_sup_terreno,dc_cod_ubicacion,dc_direccion,dc_bc1_comuna,dc_bc1_manzana,dc_bc1_predio,dc_bc2_comuna,dc_bc2_manzana,dc_bc2_predio,dc_padre_comuna,dc_padre_manzana,dc_padre_predio,n_lineas_construccion,sup_construida_total,anio_construccion_min,anio_construccion_max,materiales,calidades,pisos_max,serie,destino_limpio,distancia_tramo_m
16106|01852|00023,16106.0,1852.0,23.0,01852-00023,True,200.0,SAN MIGUEL,ARCADIA 1336 ,-33.480142,-70.650794,70769528.0,10738818.0,60030710.0,0.0,0.0,0.0,259551.0,ARCADIA 1336,69723669.0,59143557.0,0.0,N,,0.0,U,H,,HMB005,0.0,14.0,2022.0,0.0,0.0,180 - 440,346139.542567912,6293828.6081,205745.0,SAN MIGUEL,HMB005,XIII Región Metropolitana,267.0,3.0,285.0,1.0,0.0,1.0,22.0,356.0,1.0,"11,52 UF",HMB005,, 180 - 440  m²,,$259.551,,HABITACIONAL,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,HMB005,SAN MIGUEL,XIII Región Metropolitana,267.0,3.0,285.0,1.0,0.0,1.0,22.0,356.0,1.0,"11,52 UF",PRIMER SEMESTRE DE 2026,16106.0,127538245.0,1852.0,23.0,346621.97155,6294263.3693,180 - 440,0.0,PREDIOS_NACIONAL,URBANA,711.0,1_contains,359.27972022338236,0.0,H,69723669.0,59143557.0,253.0,U,ARCADIA 1336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,128.0,1905.0,1998.0,E|F,3|4,1.0,N,Habitacional,158.52480585747722
16106|01752|00296,16106.0,1752.0,296.0,01752-00296,True,200.0,SAN MIGUEL,C VALDOVINOS 1216 A L G 17 ,-33.479857,-70.64938,4519954.0,4519954.0,0.0,0.0,0.0,0.0,442048.0,C VALDOVINOS 1216 A L G 17,4453157.0,0.0,11880.0,N,,0.0,U,C,,XMB068,,,,,,,,,,SAN MIGUEL,XMB068,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",XMB068,, 260 - 1.670  m²,,$442.048,,COMERCIO,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,XMB068,SAN MIGUEL,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",PRIMER SEMESTRE DE 2026,16106.0,127550997.0,1752.0,90040.0,346752.88705,6294297.0573,,0.0,PREDIOS_NACIONAL,URBANA,678.0,1_contains,5085.813945293344,23760.0,C,4453157.0,0.0,0.0,U,C VALDOVINOS 1216 A L G 17,16106.0,1752.0,90040.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1984.0,1984.0,A,4,1.0,N,Comercio,60.07922600654912
16106|00850|00045,16106.0,850.0,45.0,00850-00045,True,200.0,SAN MIGUEL,LL SUBERCASEAUX 2675 DP 203 E ,-33.479055,-70.649117,64260067.0,4229357.0,60030710.0,0.0,0.0,0.0,442048.0,LL SUBERCASEAUX 2675 DP 203 E,63310407.0,59143557.0,0.0,N,,2015.0,U,H,,XMB068,,,,,,,,,,SAN MIGUEL,XMB068,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",XMB068,, 260 - 1.670  m²,,$442.048,,HABITACIONAL,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,XMB068,SAN MIGUEL,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",PRIMER SEMESTRE DE 2026,16106.0,127528971.0,850.0,90015.0,346775.9329875,6294386.279975,,0.0,PREDIOS_NACIONAL,URBANA,483.0,1_contains,2683.543141055531,0.0,H,63310407.0,59143557.0,0.0,U,LL SUBERCASEAUX 2675 DP 203 E,16106.0,850.0,90015.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,1995.0,1995.0,C,3,5.0,N,Habitacional,35.560735411692754
16106|01752|00207,16106.0,1752.0,207.0,01752-00207,True,200.0,SAN MIGUEL,C VALDOVINOS 1210 L D 27 ,-33.479857,-70.64938,5649488.0,5649488.0,0.0,0.0,0.0,0.0,442048.0,C VALDOVINOS 1210 L D 27,5565998.0,0.0,14848.0,N,,0.0,U,C,,XMB068,,,,,,,,,,SAN MIGUEL,XMB068,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",XMB068,, 260 - 1.670  m²,,$442.048,,COMERCIO,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,XMB068,SAN MIGUEL,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",PRIMER SEMESTRE DE 2026,16106.0,127550997.0,1752.0,90040.0,346752.88705,6294297.0573,,0.0,PREDIOS_NACIONAL,URBANA,678.0,1_contains,5085.813945293344,29696.0,C,5565998.0,0.0,0.0,U,C VALDOVINOS 1210 L D 27,16106.0,1752.0,90040.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1984.0,1984.0,A,4,1.0,N,Comercio,60.07922600654912
16106|01752|00320,16106.0,1752.0,320.0,01752-00320,True,200.0,SAN MIGUEL,ARCADIA 1213 L E 11 ,-33.479857,-70.64938,6779022.0,6779022.0,0.0,0.0,0.0,0.0,442048.0,ARCADIA 1213 L E 11,6678839.0,0.0,17817.0,N,,0.0,U,C,,XMB068,,,,,,,,,,SAN MIGUEL,XMB068,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",XMB068,, 260 - 1.670  m²,,$442.048,,COMERCIO,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,XMB068,SAN MIGUEL,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",PRIMER SEMESTRE DE 2026,16106.0,127550997.0,1752.0,90040.0,346752.88705,6294297.0573,,0.0,PREDIOS_NACIONAL,URBANA,678.0,1_contains,5085.813945293344,35634.0,C,6678839.0,0.0,0.0,U,ARCADIA 1213 L E 11,16106.0,1752.0,90040.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1984.0,1984.0,A,4,1.0,N,Comercio,60.07922600654912
16106|01752|00292,16106.0,1752.0,292.0,01752-00292,True,200.0,SAN MIGUEL,C VALDOVINOS 1216 A L G 21 ,-33.479857,-70.64938,5649488.0,5649488.0,0.0,0.0,0.0,0.0,442048.0,C VALDOVINOS 1216 A L G 21,5565998.0,0.0,14848.0,N,,0.0,U,C,,XMB068,,,,,,,,,,SAN MIGUEL,XMB068,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",XMB068,, 260 - 1.670  m²,,$442.048,,COMERCIO,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,XMB068,SAN MIGUEL,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",PRIMER SEMESTRE DE 2026,16106.0,127550997.0,1752.0,90040.0,346752.88705,6294297.0573,,0.0,PREDIOS_NACIONAL,URBANA,678.0,1_contains,5085.813945293344,29696.0,C,5565998.0,0.0,0.0,U,C VALDOVINOS 1216 A L G 21,16106.0,1752.0,90040.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1984.0,1984.0,A,4,1.0,N,Comercio,60.07922600654912
16106|01952|00500,16106.0,1952.0,500.0,01952-00500,True,200.0,SAN MIGUEL,MAGDALENA VICUNA 1280 BD 57 ,-33.481127,-70.650309,2822106.0,2822106.0,0.0,0.0,0.0,0.0,317004.0,MAGDALENA VICUNA 1280 BD 57,2780400.0,0.0,7417.0,N,,0.0,U,L,,HMA070,,,,,,,,,,SAN MIGUEL,HMA070,XIII Región Metropolitana,44.0,0.0,61.0,0.0,0.0,0.0,4.0,78.0,0.0,"14,07 UF",HMA070,, 110 - 840  m²,,$317.004,,BODEGA Y ALMACENAJE,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,HMA070,SAN MIGUEL,XIII Región Metropolitana,44.0,0.0,61.0,0.0,0.0,0.0,4.0,78.0,0.0,"14,07 UF",PRIMER SEMESTRE DE 2026,16106.0,127530541.0,1952.0,90320.0,346668.8531,6294154.76355,,0.0,PREDIOS_NACIONAL,URBANA,990.0,1_contains,5572.936623037822,14834.0,L,2780400.0,0.0,0.0,U,MAGDALENA VICUNA 1280 BD 57,16106.0,1952.0,90320.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2003.0,2003.0,B,4,16.0,N,Bodega / Almacenaje,220.32356699789761
16106|00850|00127,16106.0,850.0,127.0,00850-00127,True,200.0,SAN MIGUEL,LLANO SUBERCASEAUX 2675 BX 38 ,-33.479055,-70.649117,6530354.0,6530354.0,0.0,0.0,0.0,0.0,442048.0,LLANO SUBERCASEAUX 2675 BX 38,6433846.0,0.0,17162.0,N,,0.0,U,Z,,XMB068,,,,,,,,,,SAN MIGUEL,XMB068,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",XMB068,, 260 - 1.670  m²,,$442.048,,ESTACIONAMIENTO,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,XMB068,SAN MIGUEL,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",PRIMER SEMESTRE DE 2026,16106.0,127528971.0,850.0,90015.0,346775.9329875,6294386.279975,,0.0,PREDIOS_NACIONAL,URBANA,483.0,1_contains,2683.543141055531,34324.0,Z,6433846.0,0.0,0.0,U,LLANO SUBERCASEAUX 2675 BX 38,16106.0,850.0,90015.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,1995.0,1995.0,B,4,5.0,N,Estacionamiento,35.560735411692754
16106|01852|00026,16106.0,1852.0,26.0,01852-00026,True,200.0,SAN MIGUEL,ARCADIA 1358 ,-33.480105,-70.651067,68159006.0,8128296.0,60030710.0,0.0,0.0,0.0,259551.0,ARCADIA 1358,67151726.0,59143557.0,0.0,N,,0.0,U,H,,HMB005,0.0,14.0,2022.0,0.0,0.0,180 - 440,346139.542567912,6293828.6081,205745.0,SAN MIGUEL,HMB005,XIII Región Metropolitana,267.0,3.0,285.0,1.0,0.0,1.0,22.0,356.0,1.0,"11,52 UF",HMB005,, 180 - 440  m²,,$259.551,,HABITACIONAL,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,HMB005,SAN MIGUEL,XIII Región Metropolitana,267.0,3.0,285.0,1.0,0.0,1.0,22.0,356.0,1.0,"11,52 UF",PRIMER SEMESTRE DE 2026,16106.0,127537749.0,1852.0,26.0,346596.5627,6294267.04955,180 - 440,0.0,PREDIOS_NACIONAL,URBANA,703.0,1_contains,355.80281970532667,0.0,H,67151726.0,59143557.0,264.0,U,ARCADIA 1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,106.0,1936.0,1957.0,E|F,4,1.0,N,Habitacional,172.52843676600295
16106|00848|00417,16106.0,848.0,417.0,00848-00417,True,200.0,SAN MIGUEL,A CARLOS VALDOVINOS 1055 DP 226 B ,-33.479299,-70.647374,38057479.0,0.0,38057479.0,0.0,0.0,0.0,194438.0,A CARLOS VALDOVINOS 1055 DP 226 B,37495051.0,37495051.0,0.0,N,,2038.0,U,H,,XBB002,,,,,,,,,,SAN MIGUEL,XBB002,XIII Región Metropolitana,350.0,8.0,279.0,7.0,1.0,1.0,17.0,439.0,4.0,"8,63 UF",XBB002,, 70 - 540  m²,,$194.438,,HABITACIONAL,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,XBB002,SAN MIGUEL,XIII Región Metropolitana,350.0,8.0,279.0,7.0,1.0,1.0,17.0,439.0,4.0,"8,63 UF",PRIMER SEMESTRE DE 2026,16106.0,151458497.0,848.0,90029.0,346938.33685,6294361.8048,,0.0,PREDIOS_NACIONAL,URBANA,568.0,1_contains,8347.324934022563,0.0,H,37495051.0,37495051.0,0.0,U,A CARLOS VALDOVINOS 1055 DP 226 B,16106.0,848.0,90029.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,2018.0,2018.0,B,3,25.0,N,Habitacional,182.4072704445809
16106|00860|00017,16106.0,860.0,17.0,00860-00017,True,200.0,SAN MIGUEL,EUCLIDES 1402 1406 ,-33.478454,-70.651587,79859944.0,79859944.0,0.0,0.0,0.0,0.0,266986.0,EUCLIDES 1402 1406,78679743.0,0.0,209879.0,N,,0.0,U,C,,HBB001,0.0,14.0,2022.0,0.0,0.0,40 - 550,346451.62755,6294497.8825,211638.0,SAN MIGUEL,HBB001,XIII Región Metropolitana,54.0,3.0,63.0,1.0,1.0,0.0,51.0,52.0,1.0,"11,85 UF",HBB001,, 40 - 550  m²,,$266.986,,COMERCIO,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,HBB001,SAN MIGUEL,XIII Región Metropolitana,54.0,3.0,63.0,1.0,1.0,0.0,51.0,52.0,1.0,"11,85 UF",PRIMER SEMESTRE DE 2026,16106.0,127527383.0,860.0,17.0,346545.3279,6294449.3265,40 - 550,0.0,PREDIOS_NACIONAL,URBANA,251.0,1_contains,352.8608269597929,419758.0,C,78679743.0,0.0,249.0,U,EUCLIDES 1402 1406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,205.0,1929.0,1929.0,F,3,1.0,N,Comercio,93.87429861859012
16106|00850|00058,16106.0,850.0,58.0,00850-00058,True,200.0,SAN MIGUEL,LL SUBERCASEAUX 2675 DP 304 D ,-33.479055,-70.649117,58417461.0,0.0,58417461.0,0.0,0.0,0.0,442048.0,LL SUBERCASEAUX 2675 DP 304 D,57554146.0,57554146.0,0.0,N,,2015.0,U,H,,XMB068,,,,,,,,,,SAN MIGUEL,XMB068,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",XMB068,, 260 - 1.670  m²,,$442.048,,HABITACIONAL,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,XMB068,SAN MIGUEL,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",PRIMER SEMESTRE DE 2026,16106.0,127528971.0,850.0,90015.0,346775.9329875,6294386.279975,,0.0,PREDIOS_NACIONAL,URBANA,483.0,1_contains,2683.543141055531,0.0,H,57554146.0,57554146.0,0.0,U,LL SUBERCASEAUX 2675 DP 304 D,16106.0,850.0,90015.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1995.0,1995.0,C,3,5.0,N,Habitacional,35.560735411692754
16106|00848|00653,16106.0,848.0,653.0,00848-00653,True,200.0,SAN MIGUEL,RIVAS 1050 BD 81 ,-33.479299,-70.647374,1110830.0,1110830.0,0.0,0.0,0.0,0.0,194438.0,RIVAS 1050 BD 81,1094414.0,0.0,2920.0,N,,0.0,U,L,,XBB002,,,,,,,,,,SAN MIGUEL,XBB002,XIII Región Metropolitana,350.0,8.0,279.0,7.0,1.0,1.0,17.0,439.0,4.0,"8,63 UF",XBB002,, 70 - 540  m²,,$194.438,,BODEGA Y ALMACENAJE,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,XBB002,SAN MIGUEL,XIII Región Metropolitana,350.0,8.0,279.0,7.0,1.0,1.0,17.0,439.0,4.0,"8,63 UF",PRIMER SEMESTRE DE 2026,16106.0,151458497.0,848.0,90029.0,346938.33685,6294361.8048,,0.0,PREDIOS_NACIONAL,URBANA,568.0,1_contains,8347.324934022563,5840.0,L,1094414.0,0.0,0.0,U,RIVAS 1050 BD 81,16106.0,848.0,90029.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2018.0,2018.0,B,4,25.0,N,Bodega / Almacenaje,182.4072704445809
16106|00648|00007,16106.0,648.0,7.0,00648-00007,True,200.0,SAN MIGUEL,A PRAT 2579 ,-33.478473,-70.646566,55947491.0,0.0,55947491.0,0.0,0.0,0.0,194438.0,A PRAT 2579,55120677.0,55120677.0,0.0,N,,0.0,U,H,,XBB002,0.0,14.0,2022.0,0.0,0.0,70 - 540,347191.85705,6294186.2261,154130.0,SAN MIGUEL,XBB002,XIII Región Metropolitana,350.0,8.0,279.0,7.0,1.0,1.0,17.0,439.0,4.0,"8,63 UF",XBB002,, 70 - 540  m²,,$194.438,,HABITACIONAL,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,XBB002,SAN MIGUEL,XIII Región Metropolitana,350.0,8.0,279.0,7.0,1.0,1.0,17.0,439.0,4.0,"8,63 UF",PRIMER SEMESTRE DE 2026,16106.0,127533729.0,648.0,7.0,347011.9189,6294454.61115,70 - 540,0.0,PREDIOS_NACIONAL,URBANA,248.0,1_contains,217.17255545162317,0.0,H,55120677.0,55120677.0,192.0,U,A PRAT 2579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,129.0,1941.0,1986.0,C,4,1.0,N,Habitacional,273.94006059437913
16106|01852|00074,16106.0,1852.0,74.0,01852-00074,True,200.0,SAN MIGUEL,MAGDALENA VICUNA 1291 DP 902 ,-33.480489,-70.650225,97907101.0,37876391.0,60030710.0,0.0,0.0,0.0,259551.0,MAGDALENA VICUNA 1291 DP 902,96460193.0,59143557.0,0.0,N,,2024.0,U,H,,HMB005,,,,,,,,,,SAN MIGUEL,HMB005,XIII Región Metropolitana,267.0,3.0,285.0,1.0,0.0,1.0,22.0,356.0,1.0,"11,52 UF",HMB005,, 180 - 440  m²,,$259.551,,HABITACIONAL,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,HMB005,SAN MIGUEL,XIII Región Metropolitana,267.0,3.0,285.0,1.0,0.0,1.0,22.0,356.0,1.0,"11,52 UF",PRIMER SEMESTRE DE 2026,16106.0,127530089.0,1852.0,90045.0,346675.48015,6294225.6349,,0.0,PREDIOS_NACIONAL,URBANA,796.0,1_contains,1620.235641519107,0.0,H,96460193.0,59143557.0,0.0,U,MAGDALENA VICUNA 1291 DP 902,16106.0,1852.0,90045.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,2004.0,2004.0,B,3,9.0,N,Habitacional,153.9200312745216
16106|01952|00379,16106.0,1952.0,379.0,01952-00379,True,200.0,SAN MIGUEL,MAGDALENA VICUNA 1280 DP 808 ,-33.481127,-70.650309,80065983.0,20035273.0,60030710.0,0.0,0.0,0.0,317004.0,MAGDALENA VICUNA 1280 DP 808,78882737.0,59143557.0,22034.0,N,,2023.0,U,H,,HMA070,,,,,,,,,,SAN MIGUEL,HMA070,XIII Región Metropolitana,44.0,0.0,61.0,0.0,0.0,0.0,4.0,78.0,0.0,"14,07 UF",HMA070,, 110 - 840  m²,,$317.004,,HABITACIONAL,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,HMA070,SAN MIGUEL,XIII Región Metropolitana,44.0,0.0,61.0,0.0,0.0,0.0,4.0,78.0,0.0,"14,07 UF",PRIMER SEMESTRE DE 2026,16106.0,127530541.0,1952.0,90320.0,346668.8531,6294154.76355,,0.0,PREDIOS_NACIONAL,URBANA,990.0,1_contains,5572.936623037822,44068.0,H,78882737.0,59143557.0,0.0,U,MAGDALENA VICUNA 1280 DP 808,16106.0,1952.0,90320.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.0,2003.0,2003.0,B,3,16.0,N,Habitacional,220.32356699789761
16106|00850|00017,16106.0,850.0,17.0,00850-00017,True,200.0,SAN MIGUEL,LLANO SUBERCASEAUX 2675 DP 103 A ,-33.479055,-70.649117,59586555.0,0.0,59586555.0,0.0,0.0,0.0,442048.0,LLANO SUBERCASEAUX 2675 DP 103 A,58705962.0,58705962.0,0.0,N,,2015.0,U,H,,XMB068,,,,,,,,,,SAN MIGUEL,XMB068,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",XMB068,, 260 - 1.670  m²,,$442.048,,HABITACIONAL,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,XMB068,SAN MIGUEL,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",PRIMER SEMESTRE DE 2026,16106.0,127528971.0,850.0,90015.0,346775.9329875,6294386.279975,,0.0,PREDIOS_NACIONAL,URBANA,483.0,1_contains,2683.543141055531,0.0,H,58705962.0,58705962.0,0.0,U,LLANO SUBERCASEAUX 2675 DP 103 A,16106.0,850.0,90015.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,1995.0,1995.0,C,3,4.0,N,Habitacional,35.560735411692754
16106|00850|00065,16106.0,850.0,65.0,00850-00065,True,200.0,SAN MIGUEL,LL SUBERCASEAUX 2675 DP 403 A ,-33.479055,-70.649117,59586555.0,0.0,59586555.0,0.0,0.0,0.0,442048.0,LL SUBERCASEAUX 2675 DP 403 A,58705962.0,58705962.0,0.0,N,,2015.0,U,H,,XMB068,,,,,,,,,,SAN MIGUEL,XMB068,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",XMB068,, 260 - 1.670  m²,,$442.048,,HABITACIONAL,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,XMB068,SAN MIGUEL,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",PRIMER SEMESTRE DE 2026,16106.0,127528971.0,850.0,90015.0,346775.9329875,6294386.279975,,0.0,PREDIOS_NACIONAL,URBANA,483.0,1_contains,2683.543141055531,0.0,H,58705962.0,58705962.0,0.0,U,LL SUBERCASEAUX 2675 DP 403 A,16106.0,850.0,90015.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,1995.0,1995.0,C,3,4.0,N,Habitacional,35.560735411692754
16106|01960|00048,16106.0,1960.0,48.0,01960-00048,True,200.0,SAN MIGUEL,M VICUNA 1402 DP 203 ,-33.4806,-70.651835,41925543.0,0.0,41925543.0,0.0,0.0,0.0,317004.0,M VICUNA 1402 DP 203,41305951.0,41305951.0,0.0,N,,2003.0,U,H,,HMA070,,,,,,,,,,SAN MIGUEL,HMA070,XIII Región Metropolitana,44.0,0.0,61.0,0.0,0.0,0.0,4.0,78.0,0.0,"14,07 UF",HMA070,, 110 - 840  m²,,$317.004,,HABITACIONAL,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,HMA070,SAN MIGUEL,XIII Región Metropolitana,44.0,0.0,61.0,0.0,0.0,0.0,4.0,78.0,0.0,"14,07 UF",PRIMER SEMESTRE DE 2026,16106.0,127531931.0,1960.0,90019.0,346526.10995,6294210.95615,,0.0,PREDIOS_NACIONAL,URBANA,819.0,1_contains,1797.8250218364994,0.0,H,41305951.0,41305951.0,0.0,U,M VICUNA 1402 DP 203,16106.0,1960.0,90019.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0,1983.0,1983.0,B,3,4.0,N,Habitacional,261.18148980233354
16106|01752|00043,16106.0,1752.0,43.0,01752-00043,True,200.0,SAN MIGUEL,LLANO SUBERCASEAUX 2723 ,-33.479857,-70.64938,40546144.0,40546144.0,0.0,0.0,0.0,0.0,442048.0,LLANO SUBERCASEAUX 2723,39946938.0,0.0,106559.0,N,,0.0,U,C,,XMB068,,,,,,,,,,SAN MIGUEL,XMB068,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",XMB068,, 260 - 1.670  m²,,$442.048,,COMERCIO,2022.0,14.0,RAV NO AGRICOLA 2022,1.0,m²,m²,XMB068,SAN MIGUEL,XIII Región Metropolitana,184.0,7.0,246.0,0.0,25.0,0.0,2.0,295.0,0.0,"19,62 UF",PRIMER SEMESTRE DE 2026,16106.0,127550997.0,1752.0,90040.0,346752.88705,6294297.0573,,0.0,PREDIOS_NACIONAL,URBANA,678.0,1_contains,5085.813945293344,213118.0,C,39946938.0,0.0,0.0,U,LLANO SUBERCASEAUX 2723,16106.0,1752.0,90040.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,1984.0,1984.0,C,4,2.0,N,Comercio,60.07922600654912
